,City,Country,Latitude,Longitude,Temp,Maximum Temp,Humidity,Wind Speed,Cloud Cover
120,port hardy,CA,50.7,-127.42,44.6,44.6,93.0,17.22,90.0
121,jhalawar,IN,24.6,76.15,81.46,81.46,52.0,6.02,41.0
122,saint-paul,RE,-21.01,55.27,68.61,73.4,73.0,11.41,36.0
123,port-gentil,GA,-0.72,8.78,82.4,82.4,74.0,17.22,40.0
124,meulaboh,ID,4.14,96.13,76.35,76.35,82.0,4.97,99.0
125,muswellbrook,AU,-32.27,150.9,57.99,57.99,69.0,1.99,42.0
126,kapaa,US,22.08,-159.32,76.84,80.6,83.0,12.75,90.0
127,busselton,AU,-33.65,115.33,57.92,60.01,80.0,12.88,52.0
128,fortuna,US,40.6,-124.16,55.4,55.4,100.0,3.36,1.0
129,hermanus,ZA,-34.42,19.23,59.0,59.0,65.0,1.01,34.0
130,kochevo,RU,59.6,54.31,47.23,47.23,90.0,7.49,100.0
131,sur,OM,22.57,59.53,82.87,82.87,38.0,12.91,0.0
132,qaanaaq,GL,77.48,-69.36,22.78,22.78,81.0,6.49,0.0
133,castro,BR,-24.79,-50.01,82.96,82.96,33.0,6.02,0.0
134,siavonga,ZM,-16.54,28.71,79.72,79.72,59.0,7.45,13.0
135,georgetown,MY,5.41,100.34,77.0,77.0,94.0,3.36,20.0
136,labuan,MY,5.28,115.24,75.2,75.2,94.0,3.36,40.0
137,vaini,TO,-21.2,-175.2,71.6,71.6,68.0,9.17,40.0
138,broken hill,AU,-31.95,141.43,68.0,68.0,40.0,9.17,0.0
139,bethel,US,41.37,-73.41,54.61,55.4,93.0,6.93,90.0
140,camara de lobos,PT,32.63,-16.97,72.07,75.0,64.0,12.75,40.0
141,carnarvon,AU,-24.87,113.63,68.0,68.0,88.0,14.99,40.0
142,geraldton,AU,-28.77,114.6,66.2,66.2,77.0,5.82,90.0
143,norman wells,CA,65.28,-126.83,21.2,21.2,73.0,2.24,75.0
144,mataura,NZ,-46.19,168.86,42.01,42.01,78.0,14.0,38.0
145,valle de allende,MX,26.93,-105.4,71.82,71.82,46.0,12.24,100.0
146,fortuna,US,40.6,-124.16,55.4,55.4,100.0,3.36,1.0
147,east london,ZA,-33.02,27.91,62.6,62.6,55.0,16.11,2.0
148,busselton,AU,-33.65,115.33,57.92,60.01,80.0,12.88,52.0
149,mataura,NZ,-46.19,168.86,42.01,42.01,78.0,14.0,38.0
150,havre-saint-pierre,CA,50.23,-63.6,44.6,44.6,70.0,5.82,1.0
151,jacksonville,US,30.33,-81.66,83.61,86.0,61.0,4.7,20.0
152,eydhafushi,MV,5.1,73.07,83.68,83.68,76.0,22.75,25.0
153,vaini,TO,-21.2,-175.2,71.6,71.6,68.0,9.17,40.0
154,cape town,ZA,-33.93,18.42,59.34,60.8,55.0,21.92,55.0
